title,rating,ratingDescription,release year,user rating score
White Chicks,PG-13,80,2004,82
Lucky Number Slevin,R,100,2006,NA
Grey's Anatomy,TV-14,90,2016,98
Prison Break,TV-14,90,2008,98
How I Met Your Mother,TV-PG,70,2014,94
Supernatural,TV-14,90,2016,95
Breaking Bad,TV-MA,110,2013,97
The Vampire Diaries,TV-14,90,2017,91
The Walking Dead,TV-MA,110,2015,98
Pretty Little Liars,TV-14,90,2016,96
Once Upon a Time,TV-PG,70,2016,98
Sherlock,TV-14,90,2016,95
Death Note,TV-14,90,2006,77
Naruto,TV-PG,70,2008,88
The Hunter,R,100,2011,NA
Lottie Dottie Chicken,TV-Y,10,2009,NA
Arrow,TV-14,90,2015,96
Black Mirror,TV-MA,110,2016,80
The Originals,TV-14,90,2016,74
The 100,NR,124,2016,97
Masha and the Bear,TV-Y,10,2013,81
"�� Pai, �� - Look at This",TV-MA,110,2007,NA
Nymphomaniac: Volume 1,NR,124,2013,NA
Hunter X Hunter (2011),NR,124,2013,57
Marvel's Luke Cage,TV-MA,110,2016,95
Marvel's Iron Fist,TV-MA,110,2017,98
Narcos,TV-MA,110,2016,94
The Flash,TV-PG,70,2016,98
The Seven Deadly Sins,TV-14,90,2016,NA
Scream,TV-14,90,2016,NA
The Do-Over,TV-MA,110,2016,84
Opera̵̤es Especiais,TV-MA,110,2015,NA
3%,TV-MA,110,2016,NA
Trollhunters,TV-Y7-FV,42,2016,83
Fearless,TV-14,90,2016,NA
Hyena Road,R,100,2015,NA
Santa Clarita Diet,TV-MA,110,2017,82
"Sex, Love and Therapy",NR,124,2014,NA
White Girl,UR,124,2016,NA
Girlboss,TV-MA,110,2017,94
City of God: 10 Years Later,TV-MA,110,2013,NA
13 Reasons Why,TV-MA,110,2017,99
Sand Castle,TV-MA,110,2017,89
Salvador Martinha - Tip of the Tongue,TV-MA,110,2016,NA
Sandy Wexler,TV-14,90,2017,92
O Amor no Diṿ,TV-MA,110,2016,NA
Stronger Than the World,NR,124,2016,NA
Back and Forth,NR,124,2016,NA
Happily Married,TV-14,90,2015,NA
Pandora,TV-MA,110,2016,NA
Lucky Number Slevin,R,100,2006,NA
The Office (U.S.),TV-14,90,2012,97
Grey's Anatomy,TV-14,90,2016,98
Prison Break,TV-14,90,2008,98
90210,TV-14,90,2013,62
Gossip Girl,TV-14,90,2012,96
How I Met Your Mother,TV-PG,70,2014,94
Supernatural,TV-14,90,2016,95
Breaking Bad,TV-MA,110,2013,97
Parks and Recreation,TV-14,90,2015,94
Glee,TV-PG,70,2015,92
